trajectory,timestamp,start_point,end_point,start_lat,start_lon,end_lat,end_lon,distance_km,task_size,offload_ratio,latency,energy
 aivtyt_78995,2008-05-31 21:39:53,POINT(-122.425 37.78712),POINT(-122.42025 37.78831),37.78712,-122.425,37.78831,-122.42025,0.4387565165915336,1163377,0.43938431399260447,0.023414847070250207,21.945279010334303
 udveoy_984436,2008-05-21 09:11:18,POINT(-122.40411 37.79238),POINT(-122.40895 37.79212),37.79238,-122.40411,37.79212,-122.40895,0.42728120250372537,1199565,0.42465084563171057,0.023259065524450267,21.371479994655118
 ujkiwe_1008953,2008-05-24 11:37:14,POINT(-122.40174 37.78867),POINT(-122.40163 37.7884),37.78867,-122.40174,37.7884,-122.40163,0.03149540777603629,3276141,0.926949922897812,0.11739211423676311,1.6168777866990145
 agdrea_53121,2008-05-24 02:07:10,POINT(-122.48029 37.78045),POINT(-122.47352 37.78055),37.78045,-122.48029,37.78055,-122.47352,0.5964970101578526,1009907,0.45767694087087024,0.02200159769325454,29.831672779125203
 awrenb_200962,2008-05-31 19:14:38,POINT(-122.42411 37.73725),POINT(-122.4218 37.76427),37.73725,-122.42411,37.76427,-122.4218,3.005899188547412,2433432,0.9993627741246114,0.1471754502709509,150.33399578593932
 uvreoi_1078233,2008-05-20 13:22:49,POINT(-122.4078 37.7892),POINT(-122.40739 37.7905),37.7892,-122.4078,37.7905,-122.40739,0.1487410042584141,1216361,0.6759140542212347,0.03371432833130809,7.448643200702903
 ujkiwe_1008953,2008-05-24 11:37:14,POINT(-122.40174 37.78867),POINT(-122.40163 37.7884),37.78867,-122.40174,37.7884,-122.40163,0.03149540777603629,3276141,0.926949922897812,0.11739211423676311,1.6168777866990145
 okquak_839230,2008-06-02 20:10:30,POINT(-122.46419 37.76448),POINT(-122.46452 37.76224),37.76448,-122.46419,37.76224,-122.46452,0.25031669836978276,1278776,0.20528547449433754,0.011288631067225954,12.519588922975181
 ioangi_644662,2008-06-02 18:20:31,POINT(-122.41724 37.79108),POINT(-122.41086 37.78803),37.79108,-122.41724,37.78803,-122.41086,0.6560559320220108,1025754,0.41554142179119424,0.02054228769203148,32.80911326262543
 okvats_844755,2008-06-06 10:17:10,POINT(-122.39534 37.77673),POINT(-122.39541 37.77669),37.77673,-122.39534,37.77669,-122.39541,0.007598756758703914,3139945,0.4821892995849682,0.05825124734385387,0.40090344147243434
 ootyec_881722,2008-05-25 16:27:36,POINT(-122.4707 37.78028),POINT(-122.4671 37.78082),37.78028,-122.4707,37.78082,-122.4671,0.32275074749127564,1007047,0.5293558959985561,0.02355925268647003,16.145224162502405
 evtitd_465303,2008-06-02 20:52:01,POINT(-122.43416 37.76585),POINT(-122.43531 37.76355),37.76585,-122.43416,37.76355,-122.43531,0.2746567641991626,2116319,0.9890350618297068,0.09088661362515425,13.76285800825081
 arlwra_154369,2008-05-28 12:39:27,POINT(-122.40678 37.78841),POINT(-122.40662 37.78893),37.78841,-122.40678,37.78893,-122.40662,0.0594118821557556,4715826,0.9315979821412428,0.17173196210635244,3.0316998438557077
 utwoab_1069538,2008-06-07 02:43:23,POINT(-122.41954 37.76498),POINT(-122.42231 37.76495),37.76498,-122.41954,37.76495,-122.42231,0.2440930720830538,1534783,0.9644842176654773,0.06349083770472493,12.225805427733576
 orrrar_905677,2008-06-01 11:45:34,POINT(-122.41308 37.79072),POINT(-122.41191 37.78761),37.79072,-122.41308,37.78761,-122.41191,0.36024251151453496,1051988,0.6624983890495597,0.031188086982093147,18.02221378797795
 aducri_40623,2008-05-24 02:38:24,POINT(-122.41816 37.74943),POINT(-122.41822 37.75005),37.74943,-122.41816,37.75005,-122.41822,0.06901774391449693,2132908,0.9889110955909841,0.08284118578370554,3.480263878173965
 ivkock_709120,2008-05-29 07:45:12,POINT(-122.38622 37.61797),POINT(-122.38894 37.61606),37.61797,-122.38622,37.61606,-122.38894,0.3203239148235685,1054742,0.9701596944031456,0.04518421682012338,16.030946844624378
 osckro_911306,2008-06-05 01:15:41,POINT(-122.42057 37.75538),POINT(-122.4144 37.75241),37.75538,-122.42057,37.75241,-122.4144,0.6358546569785627,1072906,0.2931801887688062,0.01509767152116248,31.797388163916366
 ujtosh_1012679,2008-05-26 11:54:47,POINT(-122.43159 37.75708),POINT(-122.43106 37.76115),37.75708,-122.43159,37.76115,-122.43106,0.4541449202185336,1005494,0.9619373826606181,0.044491057378300315,22.72136733933092
