trajectory,distance_km,latency,energy,offload_ratio
 ofodwo_772197,0.25314434707617245,0.03399660715666726,12.668513684029817,0.7650966371473749
 atidfi_178454,0.22127679476247955,0.03465521239615039,11.075464624748953,0.8148885918068849
 udthon_980122,0.3743435137441291,0.07339160138764442,18.74084229354492,0.996669893767494
 ilyutj_611023,0.038375277610250585,0.01744888131350398,1.9250123068925438,0.40690014462192814
 iphesp_669167,0.3800338993220043,0.05663766865156282,19.019936737907578,0.9834810698503784
 atnokv_182238,0.7659833359303458,0.05477526922714442,38.31577804913595,0.9882563508125484
 osocce_915170,0.4942339354056595,0.015262887733521,24.71650677563703,0.2908597650333075
 adkavy_34644,0.057553197977360165,0.08359943511341172,2.9074249963178573,0.8486793897683353
 abniar_11749,0.712564453511802,0.013472081995426419,35.63233490821621,0.2757834751367132
 anucks_133413,0.12080351930752402,0.035807662520681315,6.052621164597304,0.7184397528891064
 iphybc_669861,0.46537242872364915,0.011282759821273516,23.272195231240442,0.22526038311544083
 acpegh_29471,0.06387466322133642,0.01663510342524721,3.1996431070289693,0.30860903403677353
 ogphag_789265,0.03550728328851608,0.027704888071641717,1.7852923902433127,0.5874697255127337
 eagbac_226889,0.15664143874344486,0.14460430258168855,7.881650469046928,0.9989387584020397
 indyep_628468,0.05715858061015646,0.09225532936504326,2.890780351349443,0.8441423265864347
 ayshek_219215,0.3181984093892224,0.046652108459947196,15.925158645226086,0.9640901813451233
 onwohy_869268,0.02831474155137181,0.012614885380099123,1.4202649547476456,0.2551892043469858
 otswra_925554,0.1474411806681111,0.024764082140647736,7.380578529319881,0.5890465733116355
 odocje_760465,0.1571326749029137,0.03193163381753701,7.86757974561093,0.6854839410975242
 ojvigh_822956,0.01925151502952213,0.11385182063129996,1.0035047729011994,0.8910631215959952
 auctji_187543,0.30532049332099154,0.10198780302408259,15.299443466210493,0.9928206497328413
 ickphi_529908,0.009086282059515638,0.02757435694380741,0.4642376392987273,0.21798422567604697
 ithpet_697968,0.06347732745032296,0.043870166226245774,3.189454290173658,0.76516465325361
 eoccoi_390868,0.030453615598583665,0.03168211653219981,1.5340474205898276,0.6013422041525787
